,Student name,Image_ID,Dissected?,Replicate,Pop,Assay,Parent_Gen,Incubator_Temp,WB_Temp,Sex,Femur_Length,Wing_Length,Body_Area,Comments,No_wing,No_femur
,Trisha,IMG05481,Y,5,4,PA,0,27,31,F,10.772,43.626,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00922,N,1,5,PA,0,27,23,F,NA,NA,907.544,,,
,,IMG00923,Y,1,5,PA,0,27,23,F,13.715,51.016,NA,,,
,,IMG00924,N,2,5,PA,0,27,23,F,NA,NA,866.483,,,
,,IMG00925,Y,2,5,PA,0,27,23,F,12.711,51.189,NA,,,
,,IMG00926,N,3,5,PA,0,27,23,F,NA,NA,890.218,,,
,,IMG00927,Y,3,5,PA,0,27,23,F,12.642,47.015,NA,,,
,,,N,4,5,PA,0,27,23,F,,,,,,
,,,Y,4,5,PA,0,27,23,F,,,,,,
,,,N,5,5,PA,0,27,23,F,,,,,,
,,,Y,5,5,PA,0,27,23,F,,,,,,
,,,,,,,,,,,,,,,,
,,IMG00976,N,1,5,PA,0,27,25,F,NA,NA,706.043,,,
,,IMG00977,Y,1,5,PA,0,27,25,F,13.073,42.089,NA,,,
,,IMG00978,N,2,5,PA,0,27,25,F,NA,NA,711.356,,,
,,IMG00979,Y,2,5,PA,0,27,25,F,11.782,40.58,NA,,,
,,IMG00980,N,3,5,PA,0,27,25,F,NA,NA,568.24,,,
,,IMG00981,Y,3,5,PA,0,27,25,F,12.836,38.19,NA,,,
,,,N,4,5,PA,0,27,25,F,,,,,,
,,,Y,4,5,PA,0,27,25,F,,,,,,
,,,N,5,5,PA,0,27,25,F,,,,,,
,,,Y,5,5,PA,0,27,25,F,,,,,,
,,,,,,,,,,,,,,,,
,,IMG01030,N,1,5,PA,0,27,27,F,NA,NA,836.182,,,
,,IMG01031,Y,1,5,PA,0,27,27,F,12.518,47.092,NA,,,
,,IMG01032,N,2,5,PA,0,27,27,F,NA,NA,806.779,,,
,,IMG01033,Y,2,5,PA,0,27,27,F,12.358,47.802,NA,,,
,,IMG01034,N,3,5,PA,0,27,27,F,NA,NA,866.309,,,
,,IMG01035,Y,3,5,PA,0,27,27,F,13.357,49.819,NA,,,
,Trisha,IMG05410,N,4,5,PA,0,27,27,F,NA,NA,854.463,,,
,Trisha,IMG05411,Y,4,5,PA,0,27,27,F,12.414,48.979,NA,,,
,Trisha,IMG05412,N,5,5,PA,0,27,27,F,NA,NA,1008.141,,,
,Trisha,IMG05413,Y,5,5,PA,0,27,27,F,12.298,50.927,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01084,N,1,5,PA,0,27,29,F,NA,NA,871.148,,,
,,IMG01085,Y,1,5,PA,0,27,29,F,12.815,48.068,NA,,,
,,IMG01086,N,2,5,PA,0,27,29,F,NA,NA,902.073,,,
,,IMG01087,Y,2,5,PA,0,27,29,F,12.57,47.61,NA,,,
,,IMG01088,N,3,5,PA,0,27,29,F,NA,NA,799.199,,,
,,IMG01089,Y,3,5,PA,0,27,29,F,13.416,47.567,NA,,,
,Trisha,IMG05446,N,4,5,PA,0,27,29,F,NA,NA,891.888,,,
,Trisha,IMG05447,Y,4,5,PA,0,27,29,F,10.268,49.31,NA,,,
,Trisha,IMG05448,N,5,5,PA,0,27,29,F,NA,NA,764.361,,,
,Trisha,IMG05449,Y,5,5,PA,0,27,29,F,11.327,45.841,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01132,N,1,5,PA,0,27,31,F,NA,NA,734.679,,,
,,IMG01133,Y,1,5,PA,0,27,31,F,12.484,43.55,NA,,,
,,IMG01134,N,2,5,PA,0,27,31,F,NA,NA,769.998,,,
,,IMG01135,Y,2,5,PA,0,27,31,F,12.893,44.245,NA,,,
,,IMG01136,N,3,5,PA,0,27,31,F,NA,NA,717.702,,,
,,IMG01137,Y,3,5,PA,0,27,31,F,12.24,43.403,NA,,,
,Trisha,IMG05482,N,4,5,PA,0,27,31,F,NA,NA,782.205,,,
,Trisha,IMG05483,Y,4,5,PA,0,27,31,F,10.932,44.334,NA,,,
,Trisha,IMG05484,N,5,5,PA,0,27,31,F,NA,NA,811.086,,,
,Trisha,IMG05485,Y,5,6,PA,0,27,31,F,12.233,49.017,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00928,N,1,6,PA,0,27,23,F,NA,NA,955.754,,,
,,IMG00929,Y,1,6,PA,0,27,23,F,11.457,49.924,NA,,,
,,IMG00930,N,2,6,PA,0,27,23,F,NA,NA,905.235,,,
,,IMG00931,Y,2,6,PA,0,27,23,F,11.608,50.376,NA,,,
,,IMG00932,N,3,6,PA,0,27,23,F,NA,NA,912.071,,,
,,IMG00933,Y,3,6,PA,0,27,23,F,14.662,49.673,NA,,,
,Trisha,IMG05346,N,4,6,PA,0,27,23,F,NA,NA,862.028,,,
,Trisha,IMG05347,Y,4,6,PA,0,27,23,F,12.891,53.664,NA,,,
,Trisha,IMG05348,N,5,6,PA,0,27,23,F,NA,NA,935.47,,,
,Trisha,IMG05349,Y,5,6,PA,0,27,23,F,12.744,52.716,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00982,N,1,6,PA,0,27,25,F,NA,NA,659.451,,,
,,IMG00983,Y,1,6,PA,0,27,25,F,10.847,41.26,NA,,,
,,IMG00984,N,2,6,PA,0,27,25,F,NA,NA,416.607,,,
,,IMG00985,Y,2,6,PA,0,27,25,F,10.856,43.385,NA,,,
,,IMG00986,N,3,6,PA,0,27,25,F,NA,NA,703.458,,,
,,IMG00987,Y,3,6,PA,0,27,25,F,11.822,37.352,NA,,,
,Trisha,IMG05378,N,4,6,PA,0,27,25,F,NA,NA,926.232,,,
,Trisha,IMG05379,Y,4,6,PA,0,27,25,F,12.221,52.293,NA,,,
,Trisha,IMG05380,N,5,6,PA,0,27,25,F,NA,NA,1038.441,,,
,Trisha,IMG05381,Y,5,6,PA,0,27,25,F,13.275,53.257,NA,,,
